NAME                          VERSION                    TYPE   
libkrb5support0               1.12.1+dfsg-19+deb8u2      deb     
libldap-2.4-2                 2.4.40+dfsg-1+deb8u2       deb     
liblocale-gettext-perl        1.05-8+b1                  deb     
liblzma5                      5.1.1alpha+20120614-2+b3   deb     
libmount1                     2.25.2-6                   deb     
libncurses5                   5.9+20140913-1+b1          deb     
libncursesw5                  5.9+20140913-1+b1          deb     
libnettle4                    2.7.1-5+deb8u1             deb     
libp11-kit0                   0.20.7-1                   deb     
libpam-modules                1.1.8-3.1+deb8u1+b1        deb     
libpam-modules-bin            1.1.8-3.1+deb8u1+b1        deb     
libpam-runtime                1.1.8-3.1+deb8u1           deb     
libpam0g                      1.1.8-3.1+deb8u1+b1        deb     
libpcre3                      2:8.35-3.3+deb8u4          deb     
libprocps3                    2:3.3.9-9                  deb     
libpsl0                       0.5.1-1                    deb     
libreadline6                  6.3-8+b3                   deb     
librtmp1                      2.4+20150115.gita107cef-1  deb     
libsasl2-2                    2.1.26.dfsg1-13+deb8u1     deb     
libsasl2-modules-db           2.1.26.dfsg1-13+deb8u1     deb     
libselinux1                   2.3-2                      deb     
libsemanage-common            2.3-1                      deb     
libsemanage1                  2.3-1+b1                   deb     
libsepol1                     2.3-2                      deb     
libslang2                     2.3.0-2                    deb     
libsmartcols1                 2.25.2-6                   deb     
libss2                        1.42.12-2                  deb     
libssh2-1                     1.4.3-4.1+deb8u1           deb     
libssl1.0.0                   1.0.1t-1+deb8u5            deb     
libstdc++6                    4.9.2-10                   deb     
libsystemd0                   215-17+deb8u5              deb     
libtasn1-6                    4.2-3+deb8u2               deb     
libtext-charwidth-perl        0.04-7+b3                  deb     
libtext-iconv-perl            1.7-5+b2                   deb     
libtext-wrapi18n-perl         0.06-7                     deb     
libtinfo5                     5.9+20140913-1+b1          deb     
libudev1                      215-17+deb8u5              deb     
libusb-0.1-4                  2:0.1.12-25                deb     
libustr-1.0-1                 1.0.4-3+b2                 deb     
libuuid1                      2.25.2-6                   deb     
lockfile                      1.0.2                      npm     
lodash._baseindexof           3.1.0                      npm     
lodash._baseuniq              4.6.0                      npm     
lodash._bindcallback          3.0.1                      npm     
lodash._cacheindexof          3.0.2                      npm     
lodash._createcache           3.1.2                      npm     
lodash._createset             4.0.3                      npm     
lodash._getnative             3.9.1                      npm     
lodash._root                  3.0.1                      npm     
lodash.clonedeep              4.5.0                      npm     
lodash.restparam              3.6.1                      npm     
lodash.union                  4.6.0                      npm     
lodash.uniq                   4.5.0                      npm     
lodash.without                4.4.0                      npm     
login                         1:4.2-3+deb8u1             deb     
lsb-base                      4.1+Debian13+nmu1          deb     
mawk                          1.3.3-17                   deb     
mime-db                       1.24.0                     npm     
mime-types                    2.1.12                     npm     
minimatch                     3.0.3                      npm     
minimist                      0.0.8                      npm     
mkdirp                        0.5.1                      npm     
mount                         2.25.2-6                   deb     
ms                            0.7.1                      npm     
multiarch-support             2.19-18+deb8u6             deb     
mute-stream                   0.0.5                      npm     
ncurses-base                  5.9+20140913-1             deb     
ncurses-bin                   5.9+20140913-1+b1          deb     
netbase                       5.3                        deb     
node                          6.9.2                      binary  
node-gyp                      3.4.0                      npm     
node-uuid                     1.4.7                      npm     
nopt                          3.0.6                      npm     
normalize-git-url             3.0.2                      npm     
normalize-package-data        2.3.5                      npm     
npm                           3.10.9                     npm     
npm-cache-filename            1.0.2                      npm     
npm-init                      0.0.0                      npm     
npm-install-checks            3.0.0                      npm     
npm-package-arg               4.2.0                      npm     
npm-registry-client           7.2.1                      npm     
npm-user-validate             0.1.5                      npm     
npmlog                        3.1.2                      npm     
npmlog                        4.0.0                      npm     
number-is-nan                 1.0.0                      npm     
oauth-sign                    0.8.2                      npm     
object-assign                 4.1.0                      npm     
once                          1.4.0                      npm     
opener                        1.4.2                      npm     
openssl                       1.0.1t-1+deb8u5            deb     
os-homedir                    1.0.1                      npm     
os-tmpdir                     1.0.1                      npm     
osenv                         0.1.3                      npm     
passwd                        1:4.2-3+deb8u1             deb     
path-array                    1.0.1                      npm     
path-is-absolute              1.0.0                      npm     
path-is-absolute              1.0.1                      npm     
path-is-inside                1.0.2                      npm     
perl-base                     5.20.2-3+deb8u6            deb     
pinkie                        2.0.4                      npm     
pinkie-promise                2.0.1                      npm     
process-nextick-args          1.0.7                      npm     
procps                        2:3.3.9-9                  deb     
promzard                      0.3.0                      npm     
proto-list                    1.2.4                      npm     
qs                            6.2.1                      npm     
read                          1.0.7                      npm     
read-cmd-shim                 1.0.1                      npm     
read-installed                4.0.3                      npm     
read-package-json             2.0.4                      npm     
read-package-tree             5.1.5                      npm     
readable-stream               2.0.6                      npm     
readable-stream               2.1.5                      npm     
readdir-scoped-modules        1.0.2                      npm     
readline-common               6.3-8                      deb     
realize-package-specifier     3.0.3                      npm     
request                       2.75.0                     npm     
retry                         0.10.0                     npm     
rimraf                        2.5.4                      npm     
sed                           4.2.2-4+b1                 deb     
semver                        5.3.0                      npm     
sensible-utils                0.0.9                      deb     
set-blocking                  2.0.0                      npm     
sha                           2.0.1                      npm     
signal-exit                   3.0.0                      npm     
slide                         1.1.6                      npm     
sntp                          1.0.9                      npm     
sorted-object                 2.0.1                      npm     
spdx-correct                  1.0.2                      npm     
spdx-exceptions               1.0.4                      npm     
