NAME                                       VERSION                   TYPE 
libstdc++6                                 4.9.2-10                  deb   
libsystemd0                                215-12                    deb   
libtasn1-6                                 4.2-2                     deb   
libtext-charwidth-perl                     0.04-7+b3                 deb   
libtext-iconv-perl                         1.7-5+b2                  deb   
libtext-wrapi18n-perl                      0.06-7                    deb   
libtinfo5                                  5.9+20140913-1+b1         deb   
libudev1                                   215-12                    deb   
libusb-0.1-4                               2:0.1.12-25               deb   
libustr-1.0-1                              1.0.4-3+b2                deb   
libuuid1                                   2.25.2-5                  deb   
lifecycle-signal                           1.2.5                     npm   
lockfile                                   1.0.0                     npm   
login                                      1:4.2-3                   deb   
lru-cache                                  2.5.0                     npm   
ls-depth                                   0.0.0                     npm   
ls-depth-umnet                             0.0.0                     npm   
lsb-base                                   4.1+Debian13+nmu1         deb   
mawk                                       1.3.3-17                  deb   
mime-db                                    1.6.1                     npm   
mime-types                                 2.0.8                     npm   
minimatch                                  1.0.0                     npm   
minimatch                                  2.0.4                     npm   
minimist                                   0.0.5                     npm   
minimist                                   0.0.8                     npm   
mkdirp                                     0.5.0                     npm   
mount                                      2.25.2-5                  deb   
multiarch-support                          2.19-15                   deb   
mute-stream                                0.0.4                     npm   
ncurses-base                               5.9+20140913-1            deb   
ncurses-bin                                5.9+20140913-1+b1         deb   
netbase                                    5.3                       deb   
new-versions-with-outdated                 0.0.0                     npm   
node-gyp                                   1.0.3                     npm   
node-uuid                                  1.4.2                     npm   
nopt                                       3.0.1                     npm   
normalize-git-url                          1.0.0                     npm   
normalize-package-data                     1.0.3                     npm   
npm                                        2.7.3                     npm   
npm-cache-filename                         1.0.1                     npm   
npm-init                                   0.0.0                     npm   
npm-install-checks                         1.0.5                     npm   
npm-package-arg                            2.1.3                     npm   
npm-package-arg                            3.1.0                     npm   
npm-registry-client                        6.1.1                     npm   
npm-test-array-bin                         1.2.5                     npm   
npm-test-blerg                             0.0.2                     npm   
npm-test-blerg3                            0.0.0                     npm   
npm-test-bundled-git                       1.2.5                     npm   
npm-test-change-bin                        1.2.3                     npm   
npm-test-change-bin                        2.3.4                     npm   
npm-test-dir-bin                           1.2.5                     npm   
npm-test-env-reader                        1.2.3                     npm   
npm-test-failer                            9999.999.99               npm   
npm-test-files                             1.2.5                     npm   
npm-test-ignore                            1.2.5                     npm   
npm-test-ignore-nested-nm                  1.2.5                     npm   
npm-test-missing-bindir                    0.0.0                     npm   
npm-test-optional-deps                     1.2.5                     npm   
npm-test-peer-deps-installer               0.0.0                     npm   
npm-test-peer-deps-toplevel                0.0.0                     npm   
npm-test-platform                          9.9.9-9                   npm   
npm-test-platform-all                      9.9.9-9                   npm   
npm-test-shrinkwrap                        0.0.0                     npm   
npm-test-shrinkwrap-empty-deps             0.0.0                     npm   
npm-test-shrinkwrap-shared-dev-dependency  0.0.0                     npm   
npm-test-test-package                      1.2.3-99-b                npm   
npm-test-url-dep                           1.2.3                     npm   
npm-user-validate                          0.1.1                     npm   
npmlog                                     0.1.1                     npm   
oauth-sign                                 0.6.0                     npm   
once                                       1.3.1                     npm   
opdep                                      1.0.0                     npm   
opener                                     1.4.0                     npm   
optional-metadep-rollback-collision        1.0.0                     npm   
osenv                                      0.1.0                     npm   
outdated-git                               0.0.1                     npm   
package                                    0.0.0                     npm   
package-bar                                0.5.0                     npm   
package-config                             1.2.3                     npm   
package-foo                                0.5.0                     npm   
package-local-dependency                   0.0.0                     npm   
package-local-dev-dependency               0.0.0                     npm   
package-with-local-paths                   0.0.0                     npm   
package-with-peer-dep                      0.0.0                     npm   
package-with-scoped-paths                  0.0.0                     npm   
passwd                                     1:4.2-3                   deb   
path-is-inside                             1.0.1                     npm   
peer-deps-invalid                          0.0.0                     npm   
perl-base                                  5.20.2-2                  deb   
procps                                     2:3.3.9-9                 deb   
promzard                                   0.2.2                     npm   
proto-list                                 1.2.3                     npm   
punycode                                   1.3.2                     npm   
qs                                         2.3.3                     npm   
read                                       1.0.5                     npm   
read-installed                             1.0.0                     npm   
read-installed                             3.1.5                     npm   
read-package-json                          1.3.2                     npm   
readable-stream                            1.0.33                    npm   
readable-stream                            1.1.13                    npm   
readdir-scoped-modules                     1.0.1                     npm   
readline-common                            6.3-8                     deb   
readmes                                    99.999.999999999          npm   
realize-package-specifier                  1.3.0                     npm   
request                                    2.53.0                    npm   
retry                                      0.6.1                     npm   
rimraf                                     2.3.2                     npm   
scripts-whitespace-windows-dep             0.0.1                     npm   
sed                                        4.2.2-4+b1                deb   
semver                                     4.3.1                     npm   
sensible-utils                             0.0.9                     deb   
sha                                        1.3.0                     npm   
sigmund                                    1.0.0                     npm   
slide                                      1.1.6                     npm   
slow                                       1.2.3                     npm   
sntp                                       1.0.9                     npm   
sorted-object                              1.0.0                     npm   
startpar                                   0.59-3                    deb   
startstop                                  1.2.3                     npm   
string_decoder                             0.10.31                   npm   
stringstream                               0.0.4                     npm   
strip-ansi                                 2.0.1                     npm   
systemd                                    215-12                    deb   
systemd-sysv                               215-12                    deb   
sysv-rc                                    2.88dsf-58                deb   
sysvinit-utils                             2.88dsf-58                deb   
tar                                        1.0.3                     npm   
tar                                        1.27.1-2+b1               deb   
test-package                               0.0.0                     npm   
text-table                                 0.2.0                     npm   
tough-cookie                               0.12.1                    npm   
tunnel-agent                               0.4.0                     npm   
typedarray                                 0.0.6                     npm   
tzdata                                     2015b-1                   deb   
udev                                       215-12                    deb   
uid-number                                 0.0.6                     npm   
umask                                      1.1.0                     npm   
update-save-example                        1.2.3                     npm   
url-dependencies                           0.0.0                     npm   
util-extend                                1.0.1                     npm   
util-linux                                 2.25.2-5                  deb   
wcwidth                                    1.0.0                     npm   
whatever                                   1.2.3                     npm   
which                                      1.0.9                     npm   
wrappy                                     1.0.1                     npm   
write-file-atomic                          1.1.0                     npm   
zlib1g                                     1:1.2.8.dfsg-2+b1         deb   
